asset_id,layer,item_name,prompt,variations_needed,priority
body_athletic_female_stage2,body,Athletic Female Stage 2,"minimalist fitness avatar silhouette, single athletic female figure in solid light gray (#F2F4FF), standing confident pose, improved posture, full body from head to feet, visible toned muscles, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_female_stage3,body,Athletic Female Stage 3,"minimalist fitness avatar silhouette, single athletic female figure in solid light gray (#F2F4FF), standing power pose, athletic build, full body from head to feet, noticeable muscle definition, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_female_stage4,body,Athletic Female Stage 4,"minimalist fitness avatar silhouette, single athletic female figure in solid light gray (#F2F4FF), standing powerful pose, well-defined muscles, full body from head to feet, clearly fit appearance, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_athletic_female_stage5,body,Athletic Female Stage 5,"minimalist fitness avatar silhouette, single athletic female figure in solid light gray (#F2F4FF), hero standing pose, peak physique, full body from head to feet, elite muscle definition, gym champion character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_female_stage1,body,Average Female Stage 1,"minimalist fitness avatar silhouette, single average build female figure in solid light gray (#F2F4FF), standing neutral pose, relaxed posture, full body from head to feet, normal build, gym beginner character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_female_stage2,body,Average Female Stage 2,"minimalist fitness avatar silhouette, single female figure in solid light gray (#F2F4FF), standing confident pose, improved posture, full body from head to feet, slightly toned build, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_female_stage3,body,Average Female Stage 3,"minimalist fitness avatar silhouette, single female figure in solid light gray (#F2F4FF), standing power pose, athletic build developing, full body from head to feet, visible fitness progress, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_female_stage4,body,Average Female Stage 4,"minimalist fitness avatar silhouette, single female figure in solid light gray (#F2F4FF), standing powerful pose, fit appearance, full body from head to feet, muscular development visible, gym character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
body_average_female_stage5,body,Average Female Stage 5,"minimalist fitness avatar silhouette, single female figure in solid light gray (#F2F4FF), hero standing pose, transformed physique, full body from head to feet, impressive muscle definition, gym champion character design, transparent background, flat design, no gradients, clean edges, centered on 512x512 canvas, bottom of feet at bottom of frame --no text, face details, realistic skin, background, shadow, 3D effects",1,P0
skin_tone1,skin,Porcelain,"flat color overlay layer, human skin tone porcelain (#FFE0BD), solid fill matching body silhouette shape, no texture, flat design, 512x512 canvas, transparent background except skin areas --no gradients, shading, 3D effects, details",1,P0
skin_tone2,skin,Warm Ivory,"flat color overlay layer, human skin tone warm ivory (#F5D0A9), solid fill matching body silhouette shape, no texture, flat design, 512x512 canvas, transparent background except skin areas --no gradients, shading, 3D effects, details",1,P0
skin_tone3,skin,Sand,"flat color overlay layer, human skin tone sand (#D4A76A), solid fill matching body silhouette shape, no texture, flat design, 512x512 canvas, transparent background except skin areas --no gradients, shading, 3D effects, details",1,P0
skin_tone4,skin,Warm Brown,"flat color overlay layer, human skin tone warm brown (#A67B5B), solid fill matching body silhouette shape, no texture, flat design, 512x512 canvas, transparent background except skin areas --no gradients, shading, 3D effects, details",1,P0
skin_tone5,skin,Deep Brown,"flat color overlay layer, human skin tone deep brown (#6B4423), solid fill matching body silhouette shape, no texture, flat design, 512x512 canvas, transparent background except skin areas --no gradients, shading, 3D effects, details",1,P0
skin_tone6,skin,Ebony,"flat color overlay layer, human skin tone ebony (#3D2314), solid fill matching body silhouette shape, no texture, flat design, 512x512 canvas, transparent background except skin areas --no gradients, shading, 3D effects, details",1,P0
face_neutral,face,Neutral Expression,"minimalist avatar face, neutral relaxed expression, simple features, eyes looking forward, closed mouth, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_happy,face,Happy Expression,"minimalist avatar face, happy smiling expression, simple features, eyes slightly squinted, smile visible, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_nervous,face,Nervous Expression,"minimalist avatar face, nervous uncertain expression, simple features, eyes wide, slight frown, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_tired,face,Tired Expression,"minimalist avatar face, tired exhausted expression, simple features, droopy eyes, slight frown, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_determined,face,Determined Expression,"minimalist avatar face, determined focused expression, simple features, intense eyes, set jaw, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_focused,face,Focused Expression,"minimalist avatar face, focused concentrated expression, simple features, narrowed eyes, neutral mouth, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_confident,face,Confident Expression,"minimalist avatar face, confident self-assured expression, simple features, relaxed eyes, slight smirk, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
face_intense,face,Intense Expression,"minimalist avatar face, intense powerful expression, simple features, fierce eyes, gritted teeth, flat illustration style, light gray (#F2F4FF), clean lines, transparent background, 512x512 canvas, positioned for upper portion of avatar head area --no realistic details, 3D, shadows, text",1,P0
hair_short_straight_black,hair,Short Straight Black,"minimalist avatar hairstyle, short straight hair, black color (#1A1A1A), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_straight_brown,hair,Short Straight Brown,"minimalist avatar hairstyle, short straight hair, brown color (#654321), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_straight_blonde,hair,Short Straight Blonde,"minimalist avatar hairstyle, short straight hair, blonde color (#D4AF37), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_straight_red,hair,Short Straight Red,"minimalist avatar hairstyle, short straight hair, red color (#8B0000), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_straight_gray,hair,Short Straight Gray,"minimalist avatar hairstyle, short straight hair, gray color (#808080), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_straight_accent,hair,Short Straight Accent,"minimalist avatar hairstyle, short straight hair, bright lime green color (#ADFF2F), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_curly_black,hair,Short Curly Black,"minimalist avatar hairstyle, short curly hair, black color (#1A1A1A), simple clean shape with curl texture, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_curly_brown,hair,Short Curly Brown,"minimalist avatar hairstyle, short curly hair, brown color (#654321), simple clean shape with curl texture, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_curly_blonde,hair,Short Curly Blonde,"minimalist avatar hairstyle, short curly hair, blonde color (#D4AF37), simple clean shape with curl texture, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_curly_red,hair,Short Curly Red,"minimalist avatar hairstyle, short curly hair, red color (#8B0000), simple clean shape with curl texture, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_curly_gray,hair,Short Curly Gray,"minimalist avatar hairstyle, short curly hair, gray color (#808080), simple clean shape with curl texture, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_short_curly_accent,hair,Short Curly Accent,"minimalist avatar hairstyle, short curly hair, bright lime green color (#ADFF2F), simple clean shape with curl texture, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_medium_wavy_black,hair,Medium Wavy Black,"minimalist avatar hairstyle, medium length wavy hair, black color (#1A1A1A), simple clean flowing shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_medium_wavy_brown,hair,Medium Wavy Brown,"minimalist avatar hairstyle, medium length wavy hair, brown color (#654321), simple clean flowing shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_medium_wavy_blonde,hair,Medium Wavy Blonde,"minimalist avatar hairstyle, medium length wavy hair, blonde color (#D4AF37), simple clean flowing shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_medium_wavy_red,hair,Medium Wavy Red,"minimalist avatar hairstyle, medium length wavy hair, red color (#8B0000), simple clean flowing shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_medium_wavy_gray,hair,Medium Wavy Gray,"minimalist avatar hairstyle, medium length wavy hair, gray color (#808080), simple clean flowing shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_medium_wavy_accent,hair,Medium Wavy Accent,"minimalist avatar hairstyle, medium length wavy hair, bright lime green color (#ADFF2F), simple clean flowing shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_long_straight_black,hair,Long Straight Black,"minimalist avatar hairstyle, long straight hair past shoulders, black color (#1A1A1A), simple clean shape, fits on avatar head and flows down, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_long_straight_brown,hair,Long Straight Brown,"minimalist avatar hairstyle, long straight hair past shoulders, brown color (#654321), simple clean shape, fits on avatar head and flows down, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_long_straight_blonde,hair,Long Straight Blonde,"minimalist avatar hairstyle, long straight hair past shoulders, blonde color (#D4AF37), simple clean shape, fits on avatar head and flows down, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_long_straight_red,hair,Long Straight Red,"minimalist avatar hairstyle, long straight hair past shoulders, red color (#8B0000), simple clean shape, fits on avatar head and flows down, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_long_straight_gray,hair,Long Straight Gray,"minimalist avatar hairstyle, long straight hair past shoulders, gray color (#808080), simple clean shape, fits on avatar head and flows down, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_long_straight_accent,hair,Long Straight Accent,"minimalist avatar hairstyle, long straight hair past shoulders, bright lime green color (#ADFF2F), simple clean shape, fits on avatar head and flows down, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_ponytail_black,hair,Ponytail Black,"minimalist avatar hairstyle, high ponytail, black color (#1A1A1A), simple clean sporty shape, tied back, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_ponytail_brown,hair,Ponytail Brown,"minimalist avatar hairstyle, high ponytail, brown color (#654321), simple clean sporty shape, tied back, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_ponytail_blonde,hair,Ponytail Blonde,"minimalist avatar hairstyle, high ponytail, blonde color (#D4AF37), simple clean sporty shape, tied back, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_ponytail_red,hair,Ponytail Red,"minimalist avatar hairstyle, high ponytail, red color (#8B0000), simple clean sporty shape, tied back, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_ponytail_gray,hair,Ponytail Gray,"minimalist avatar hairstyle, high ponytail, gray color (#808080), simple clean sporty shape, tied back, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_ponytail_accent,hair,Ponytail Accent,"minimalist avatar hairstyle, high ponytail, bright lime green color (#ADFF2F), simple clean sporty shape, tied back, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bun_black,hair,Bun Black,"minimalist avatar hairstyle, tight top bun, black color (#1A1A1A), simple clean round shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bun_brown,hair,Bun Brown,"minimalist avatar hairstyle, tight top bun, brown color (#654321), simple clean round shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bun_blonde,hair,Bun Blonde,"minimalist avatar hairstyle, tight top bun, blonde color (#D4AF37), simple clean round shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bun_red,hair,Bun Red,"minimalist avatar hairstyle, tight top bun, red color (#8B0000), simple clean round shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bun_gray,hair,Bun Gray,"minimalist avatar hairstyle, tight top bun, gray color (#808080), simple clean round shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bun_accent,hair,Bun Accent,"minimalist avatar hairstyle, tight top bun, bright lime green color (#ADFF2F), simple clean round shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_buzz_black,hair,Buzz Cut Black,"minimalist avatar hairstyle, very short buzz cut, black color (#1A1A1A), simple clean close-cropped shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_buzz_brown,hair,Buzz Cut Brown,"minimalist avatar hairstyle, very short buzz cut, brown color (#654321), simple clean close-cropped shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_buzz_blonde,hair,Buzz Cut Blonde,"minimalist avatar hairstyle, very short buzz cut, blonde color (#D4AF37), simple clean close-cropped shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_buzz_red,hair,Buzz Cut Red,"minimalist avatar hairstyle, very short buzz cut, red color (#8B0000), simple clean close-cropped shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_buzz_gray,hair,Buzz Cut Gray,"minimalist avatar hairstyle, very short buzz cut, gray color (#808080), simple clean close-cropped shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_buzz_accent,hair,Buzz Cut Accent,"minimalist avatar hairstyle, very short buzz cut, bright lime green color (#ADFF2F), simple clean close-cropped shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_fade_black,hair,Fade Black,"minimalist avatar hairstyle, fade haircut with longer top, black color (#1A1A1A), simple clean modern shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_fade_brown,hair,Fade Brown,"minimalist avatar hairstyle, fade haircut with longer top, brown color (#654321), simple clean modern shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_fade_blonde,hair,Fade Blonde,"minimalist avatar hairstyle, fade haircut with longer top, blonde color (#D4AF37), simple clean modern shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_fade_red,hair,Fade Red,"minimalist avatar hairstyle, fade haircut with longer top, red color (#8B0000), simple clean modern shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_fade_gray,hair,Fade Gray,"minimalist avatar hairstyle, fade haircut with longer top, gray color (#808080), simple clean modern shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_fade_accent,hair,Fade Accent,"minimalist avatar hairstyle, fade haircut with longer top, bright lime green color (#ADFF2F), simple clean modern shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_braids_black,hair,Braids Black,"minimalist avatar hairstyle, braided hair, black color (#1A1A1A), simple clean woven pattern, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_braids_brown,hair,Braids Brown,"minimalist avatar hairstyle, braided hair, brown color (#654321), simple clean woven pattern, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_braids_blonde,hair,Braids Blonde,"minimalist avatar hairstyle, braided hair, blonde color (#D4AF37), simple clean woven pattern, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_braids_red,hair,Braids Red,"minimalist avatar hairstyle, braided hair, red color (#8B0000), simple clean woven pattern, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_braids_gray,hair,Braids Gray,"minimalist avatar hairstyle, braided hair, gray color (#808080), simple clean woven pattern, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_braids_accent,hair,Braids Accent,"minimalist avatar hairstyle, braided hair, bright lime green color (#ADFF2F), simple clean woven pattern, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_afro_black,hair,Afro Black,"minimalist avatar hairstyle, full afro, black color (#1A1A1A), simple clean round voluminous shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_afro_brown,hair,Afro Brown,"minimalist avatar hairstyle, full afro, brown color (#654321), simple clean round voluminous shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_afro_blonde,hair,Afro Blonde,"minimalist avatar hairstyle, full afro, blonde color (#D4AF37), simple clean round voluminous shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_afro_red,hair,Afro Red,"minimalist avatar hairstyle, full afro, red color (#8B0000), simple clean round voluminous shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_afro_gray,hair,Afro Gray,"minimalist avatar hairstyle, full afro, gray color (#808080), simple clean round voluminous shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_afro_accent,hair,Afro Accent,"minimalist avatar hairstyle, full afro, bright lime green color (#ADFF2F), simple clean round voluminous shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_undercut_black,hair,Undercut Black,"minimalist avatar hairstyle, undercut with long top, black color (#1A1A1A), simple clean edgy shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_undercut_brown,hair,Undercut Brown,"minimalist avatar hairstyle, undercut with long top, brown color (#654321), simple clean edgy shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_undercut_blonde,hair,Undercut Blonde,"minimalist avatar hairstyle, undercut with long top, blonde color (#D4AF37), simple clean edgy shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_undercut_red,hair,Undercut Red,"minimalist avatar hairstyle, undercut with long top, red color (#8B0000), simple clean edgy shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_undercut_gray,hair,Undercut Gray,"minimalist avatar hairstyle, undercut with long top, gray color (#808080), simple clean edgy shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_undercut_accent,hair,Undercut Accent,"minimalist avatar hairstyle, undercut with long top, bright lime green color (#ADFF2F), simple clean edgy shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, individual strands, 3D, shadows",1,P0
hair_bald,hair,Bald,"minimalist avatar bald head, no hair, smooth head shape, light gray color (#F2F4FF), simple clean shape, fits on avatar head, flat illustration style, transparent background, 512x512 canvas, positioned for top of avatar head --no realistic details, 3D, shadows",1,P0
top_tanktop_black,top,Tank Top Black,"minimalist gym clothing, sleeveless tank top, black color (#1A1A1A), simple athletic fit, fits avatar torso, flat illustration style, transparent background, 512x512 canvas, positioned for avatar upper body --no realistic details, wrinkles, 3D, shadows",1,P0
top_tanktop_white,top,Tank Top White,"minimalist gym clothing, sleeveless tank top, white color (#F5F5F5), simple athletic fit, fits avatar torso, flat illustration style, transparent background, 512x512 canvas, positioned for avatar upper body --no realistic details, wrinkles, 3D, shadows",1,P0
top_tanktop_gray,top,Tank Top Gray,"minimalist gym clothing, sleeveless tank top, gray color (#4A4A4A), simple athletic fit, fits avatar torso, flat illustration style, transparent background, 512x512 canvas, positioned for avatar upper body --no realistic details, wrinkles, 3D, shadows",1,P0
