exercise_id,exercise_name,equipment_in_image,body_position_description,image_prompt
"wger_56","Abdominal Stabilization","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing abdominal stabilization, performing exercise with proper form, using gym mat, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1096","Abduction while standing","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing abduction while standing, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Adductor","Adductor","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing adductor, performing exercise with proper form, using foam roll, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Adductor_Groin","Adductor/Groin","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing adductor/groin, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Advanced_Kettlebell_Windmill","Advanced Kettlebell Windmill","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing advanced kettlebell windmill, performing exercise with proper form, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Air_Bike","Air Bike","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing air bike, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"All_Fours_Quad_Stretch","All Fours Quad Stretch","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing all fours quad stretch, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1102","Alternate back lunges","yes","one leg forward in lunge position; rear knee near floor","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternate back lunges, one leg forward in lunge position, rear knee near floor, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternate_Hammer_Curl","Alternate Hammer Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternate hammer curl, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternate_Heel_Touchers","Alternate Heel Touchers","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternate heel touchers, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternate_Incline_Dumbbell_Curl","Alternate Incline Dumbbell Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternate incline dumbbell curl, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternate_Leg_Diagonal_Bound","Alternate Leg Diagonal Bound","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternate leg diagonal bound, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1012","Alternating bicep curls","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating bicep curls, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1192","Alternating Biceps Curls With Dumbbell","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating biceps curls with dumbbell, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Cable_Shoulder_Press","Alternating Cable Shoulder Press","yes","seated or standing; arms pressing weight overhead","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating cable shoulder press, seated or standing, arms pressing weight overhead, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Deltoid_Raise","Alternating Deltoid Raise","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating deltoid raise, performing exercise with proper form, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1567","Alternating dumbbell hammer curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating dumbbell hammer curl, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Floor_Press","Alternating Floor Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating floor press, performing exercise with proper form, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Hang_Clean","Alternating Hang Clean","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating hang clean, performing exercise with proper form, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1486","Alternating High Cable Row","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating high cable row, torso bent forward, pulling weight toward body, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Kettlebell_Press","Alternating Kettlebell Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating kettlebell press, performing exercise with proper form, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Kettlebell_Row","Alternating Kettlebell Row","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating kettlebell row, torso bent forward, pulling weight toward body, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Alternating_Renegade_Row","Alternating Renegade Row","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternating renegade row, torso bent forward, pulling weight toward body, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1501","Alternative DB Gorilla rows","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing alternative db gorilla rows, torso bent forward, pulling weight toward body, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Ankle_Circles","Ankle Circles","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ankle circles, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1804","ankle dorsiflexion rocks","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ankle dorsiflexion rocks, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Ankle_On_The_Knee","Ankle On The Knee","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ankle on the knee, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Anterior_Tibialis-SMR","Anterior Tibialis-SMR","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing anterior tibialis-smr, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Anti-Gravity_Press","Anti-Gravity Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing anti-gravity press, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1141","Arabesque","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing arabesque, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1545","Archer Pull Up","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing archer pull up, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1294","Arco femorale una gamba","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing arco femorale una gamba, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Arm_Circles","Arm Circles","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing arm circles, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1606","Arm Raises (T/Y/I)","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing arm raises (t/y/i), performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Arnold_Dumbbell_Press","Arnold Dumbbell Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing arnold dumbbell press, performing exercise with proper form, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_20","Arnold Shoulder Press","yes","seated or standing; arms pressing weight overhead","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing arnold shoulder press, seated or standing, arms pressing weight overhead, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Around_The_Worlds","Around The Worlds","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing around the worlds, performing exercise with proper form, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1737","Assisted chin-ups","yes","hanging from bar with underhand grip; pulling chin above bar","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing assisted chin-ups, hanging from bar with underhand grip, pulling chin above bar, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Atlas_Stone_Trainer","Atlas Stone Trainer","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing atlas stone trainer, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Atlas_Stones","Atlas Stones","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing atlas stones, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1219","Australian pull-ups","yes","hanging from bar; pulling chin above bar","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing australian pull-ups, hanging from bar, pulling chin above bar, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_31","Axe Hold","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing axe hold, performing exercise with proper form, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Axle_Deadlift","Axle Deadlift","yes","bent over with flat back; gripping barbell at floor","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing axle deadlift, bent over with flat back, gripping barbell at floor, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1263","Back bridge","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing back bridge, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1143","Back extensión","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing back extensión, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Back_Flyes_-_With_Bands","Back Flyes - With Bands","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing back flyes - with bands, performing exercise with proper form, using resistance band, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1742","Back Lever","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing back lever, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1010","Back neck stretch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing back neck stretch, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_995","Backward arm circles","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing backward arm circles, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Backward_Drag","Backward Drag","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing backward drag, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Backward_Medicine_Ball_Throw","Backward Medicine Ball Throw","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing backward medicine ball throw, torso bent forward, pulling weight toward body, using medicine ball, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1005","Backward shoulder rotation","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing backward shoulder rotation, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1092","Bag training","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bag training, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Balance_Board","Balance Board","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing balance board, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_165","Ball crunches","yes","lying on back; curling shoulders toward knees","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ball crunches, lying on back, curling shoulders toward knees, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Ball_Leg_Curl","Ball Leg Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ball leg curl, standing or seated, arm curling weight toward shoulder, using exercise ball, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1525","Ball Slams","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing ball slams, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Band_Assisted_Pull-Up","Band Assisted Pull-Up","yes","hanging from bar; pulling chin above bar","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing band assisted pull-up, hanging from bar, pulling chin above bar, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Band_Good_Morning","Band Good Morning","yes","standing with bar on back; hinging forward at hips","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing band good morning, standing with bar on back, hinging forward at hips, using resistance band, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
